White border ratio: 0.33;
Color code ratio: 0.15;
Demand ratio: 0.2;
Number of slots: 7;
Number of designs: 104;
Number of customer-specific designs: 90;
Number of standard designs: 14;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 1, 0, 0, 0.0035, 74000;
2, 9, 0, 0, 0.0035, 44500;
3, 6, 0, 0, 0.0035, 19500;
4, 13, 0, 0, 0.0035, 65500;
5, 7, 0, 0, 0.0035, 32000;
6, 1, 0, 0, 0.0035, 32000;
7, 8, 0, 0, 0.0035, 36500;
8, 7, 0, 0, 0.0035, 69500;
9, 5, 0, 0, 0.0035, 15500;
10, 5, 0, 0, 0.0035, 40500;
11, 12, 0, 0, 0.0035, 40500;
12, 11, 1, 0, 0.0035, 44500;
13, 4, 0, 0, 0.0035, 78000;
14, 5, 1, 0, 0.0035, 28000;
15, 7, 1, 0, 0.0035, 15500;
16, 5, 0, 0, 0.0035, 28000;
17, 13, 0, 0, 0.0035, 57000;
18, 14, 0, 0, 0.0035, 40500;
19, 13, 1, 0, 0.0035, 69500;
20, 13, 0, 0, 0.0035, 74000;
21, 8, 0, 0, 0.0035, 74000;
22, 8, 1, 0, 0.0035, 44500;
23, 5, 0, 0, 0.0035, 57000;
24, 2, 0, 0, 0.0035, 11500;
25, 10, 0, 0, 0.0035, 19500;
26, 13, 0, 0, 0.0035, 78000;
27, 6, 1, 0, 0.0035, 36500;
28, 12, 1, 0, 0.0035, 44500;
29, 13, 1, 0, 0.0035, 11500;
30, 8, 0, 0, 0.0035, 19500;
31, 7, 0, 0, 0.0035, 57000;
32, 13, 1, 0, 0.0035, 36500;
33, 2, 0, 0, 0.0035, 57000;
34, 13, 0, 0, 0.0035, 19500;
35, 9, 0, 0, 0.0035, 69500;
36, 14, 1, 0, 0.0035, 61500;
37, 2, 0, 0, 0.0035, 32000;
38, 11, 0, 0, 0.0035, 78000;
39, 6, 0, 0, 0.0035, 69500;
40, 4, 0, 0, 0.0035, 15500;
41, 13, 1, 0, 0.0035, 69500;
42, 9, 1, 0, 0.0035, 61500;
43, 10, 0, 0, 0.0035, 11500;
44, 1, 0, 0, 0.0035, 7000;
45, 14, 1, 0, 0.0035, 24000;
46, 1, 1, 0, 0.0035, 61500;
47, 7, 1, 0, 0.0035, 78000;
48, 10, 1, 0, 0.0035, 69500;
49, 2, 1, 0, 0.0035, 61500;
50, 1, 0, 0, 0.0035, 7000;
51, 6, 0, 0, 0.0035, 44500;
52, 7, 0, 0, 0.0035, 49000;
53, 6, 0, 0, 0.0035, 15500;
54, 7, 0, 0, 0.0035, 65500;
55, 1, 0, 0, 0.0035, 19500;
56, 7, 1, 0, 0.0035, 57000;
57, 1, 0, 0, 0.0035, 11500;
58, 1, 0, 0, 0.0035, 61500;
59, 4, 0, 0, 0.0035, 69500;
60, 12, 0, 0, 0.0035, 78000;
61, 4, 0, 0, 0.0035, 7000;
62, 9, 1, 0, 0.0035, 57000;
63, 5, 1, 0, 0.0035, 40500;
64, 10, 0, 0, 0.0035, 69500;
65, 8, 0, 0, 0.0035, 74000;
66, 1, 0, 0, 0.0035, 44500;
67, 5, 0, 0, 0.0035, 28000;
68, 10, 0, 0, 0.0035, 15500;
69, 11, 1, 0, 0.0035, 69500;
70, 6, 1, 0, 0.0035, 36500;
71, 10, 0, 0, 0.0035, 24000;
72, 14, 0, 0, 0.0035, 61500;
73, 6, 0, 0, 0.0035, 11500;
74, 3, 0, 0, 0.0035, 19500;
75, 11, 0, 0, 0.0035, 32000;
76, 11, 0, 0, 0.0035, 49000;
77, 12, 0, 0, 0.0035, 15500;
78, 4, 0, 0, 0.0035, 11500;
79, 4, 0, 0, 0.0035, 65500;
80, 14, 0, 0, 0.0035, 78000;
81, 3, 1, 0, 0.0035, 53000;
82, 2, 0, 0, 0.0035, 44500;
83, 14, 0, 0, 0.0035, 78000;
84, 7, 1, 0, 0.0035, 19500;
85, 13, 0, 0, 0.0035, 36500;
86, 10, 0, 0, 0.0035, 36500;
87, 2, 0, 0, 0.0035, 65500;
88, 13, 0, 0, 0.0035, 36500;
89, 6, 0, 0, 0.0035, 32000;
90, 4, 0, 0, 0.0035, 44500;
91, 1, 0, 1, 0.001, 0;
92, 9, 0, 1, 0.001, 0;
93, 6, 0, 1, 0.001, 0;
94, 13, 0, 1, 0.001, 0;
95, 7, 0, 1, 0.001, 0;
96, 8, 0, 1, 0.001, 0;
97, 5, 0, 1, 0.001, 0;
98, 12, 0, 1, 0.001, 0;
99, 11, 0, 1, 0.001, 0;
100, 4, 0, 1, 0.001, 0;
101, 14, 0, 1, 0.001, 0;
102, 2, 0, 1, 0.001, 0;
103, 10, 0, 1, 0.001, 0;
104, 3, 0, 1, 0.001, 0;
