White border ratio: 0.66;
Color code ratio: 0.15;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 81;
Number of customer-specific designs: 70;
Number of standard designs: 11;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 3, 1, 0, 0.0035, 62500;
2, 3, 0, 0, 0.0035, 22500;
3, 9, 1, 0, 0.0035, 52000;
4, 2, 0, 0, 0.0035, 65500;
5, 5, 1, 0, 0.0035, 25000;
6, 11, 0, 0, 0.0035, 60000;
7, 2, 1, 0, 0.0035, 41000;
8, 3, 1, 0, 0.0035, 49000;
9, 4, 1, 0, 0.0035, 78500;
10, 2, 1, 0, 0.0035, 11500;
11, 7, 1, 0, 0.0035, 68000;
12, 2, 0, 0, 0.0035, 22500;
13, 4, 0, 0, 0.0035, 65500;
14, 3, 1, 0, 0.0035, 65500;
15, 5, 1, 0, 0.0035, 52000;
16, 9, 1, 0, 0.0035, 68000;
17, 8, 1, 0, 0.0035, 46500;
18, 10, 0, 0, 0.0035, 9000;
19, 5, 1, 0, 0.0035, 22500;
20, 10, 1, 0, 0.0035, 33000;
21, 10, 1, 0, 0.0035, 44000;
22, 3, 0, 0, 0.0035, 28000;
23, 7, 0, 0, 0.0035, 14500;
24, 5, 1, 0, 0.0035, 30500;
25, 3, 0, 0, 0.0035, 33000;
26, 7, 0, 0, 0.0035, 11500;
27, 7, 0, 0, 0.0035, 9000;
28, 11, 1, 0, 0.0035, 52000;
29, 7, 0, 0, 0.0035, 25000;
30, 11, 0, 0, 0.0035, 11500;
31, 11, 0, 0, 0.0035, 78500;
32, 2, 0, 0, 0.0035, 62500;
33, 5, 1, 0, 0.0035, 22500;
34, 6, 0, 0, 0.0035, 25000;
35, 1, 1, 0, 0.0035, 70500;
36, 7, 1, 0, 0.0035, 22500;
37, 4, 0, 0, 0.0035, 57000;
38, 6, 0, 0, 0.0035, 54500;
39, 7, 1, 0, 0.0035, 19500;
40, 2, 1, 0, 0.0035, 28000;
41, 2, 1, 0, 0.0035, 30500;
42, 2, 1, 0, 0.0035, 6500;
43, 11, 1, 0, 0.0035, 9000;
44, 9, 1, 0, 0.0035, 60000;
45, 2, 1, 0, 0.0035, 36000;
46, 2, 1, 0, 0.0035, 68000;
47, 11, 1, 0, 0.0035, 28000;
48, 11, 0, 0, 0.0035, 19500;
49, 10, 1, 0, 0.0035, 62500;
50, 4, 1, 0, 0.0035, 60000;
51, 11, 0, 0, 0.0035, 19500;
52, 9, 1, 0, 0.0035, 41000;
53, 5, 0, 0, 0.0035, 65500;
54, 10, 1, 0, 0.0035, 78500;
55, 2, 1, 0, 0.0035, 68000;
56, 7, 1, 0, 0.0035, 30500;
57, 2, 1, 0, 0.0035, 78500;
58, 3, 1, 0, 0.0035, 28000;
59, 8, 0, 0, 0.0035, 52000;
60, 11, 0, 0, 0.0035, 22500;
61, 6, 1, 0, 0.0035, 28000;
62, 1, 1, 0, 0.0035, 65500;
63, 11, 0, 0, 0.0035, 70500;
64, 7, 1, 0, 0.0035, 54500;
65, 6, 1, 0, 0.0035, 30500;
66, 2, 1, 0, 0.0035, 41000;
67, 5, 1, 0, 0.0035, 78500;
68, 11, 1, 0, 0.0035, 41000;
69, 1, 0, 0, 0.0035, 11500;
70, 6, 0, 0, 0.0035, 52000;
71, 3, 0, 1, 0.001, 0;
72, 9, 0, 1, 0.001, 0;
73, 2, 0, 1, 0.001, 0;
74, 5, 0, 1, 0.001, 0;
75, 11, 0, 1, 0.001, 0;
76, 4, 0, 1, 0.001, 0;
77, 7, 0, 1, 0.001, 0;
78, 8, 0, 1, 0.001, 0;
79, 10, 0, 1, 0.001, 0;
80, 6, 0, 1, 0.001, 0;
81, 1, 0, 1, 0.001, 0;
