White border ratio: 0.33;
Color code ratio: 0.3;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 117;
Number of customer-specific designs: 90;
Number of standard designs: 27;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 9, 1, 0, 0.0035, 35000;
2, 11, 0, 0, 0.0035, 25000;
3, 14, 0, 0, 0.0035, 75000;
4, 3, 1, 0, 0.0035, 75000;
5, 6, 0, 0, 0.0035, 20500;
6, 6, 1, 0, 0.0035, 27000;
7, 13, 0, 0, 0.0035, 41500;
8, 1, 0, 0, 0.0035, 75000;
9, 14, 0, 0, 0.0035, 45500;
10, 2, 1, 0, 0.0035, 68500;
11, 19, 1, 0, 0.0035, 52000;
12, 18, 0, 0, 0.0035, 8000;
13, 12, 1, 0, 0.0035, 14500;
14, 8, 1, 0, 0.0035, 6000;
15, 20, 1, 0, 0.0035, 37500;
16, 8, 1, 0, 0.0035, 47500;
17, 11, 0, 0, 0.0035, 62500;
18, 9, 1, 0, 0.0035, 20500;
19, 5, 1, 0, 0.0035, 54000;
20, 14, 0, 0, 0.0035, 20500;
21, 27, 1, 0, 0.0035, 72500;
22, 13, 0, 0, 0.0035, 60000;
23, 18, 0, 0, 0.0035, 14500;
24, 5, 1, 0, 0.0035, 70500;
25, 27, 1, 0, 0.0035, 39500;
26, 8, 0, 0, 0.0035, 47500;
27, 26, 1, 0, 0.0035, 22500;
28, 21, 0, 0, 0.0035, 41500;
29, 18, 0, 0, 0.0035, 75000;
30, 24, 1, 0, 0.0035, 39500;
31, 13, 1, 0, 0.0035, 43500;
32, 3, 1, 0, 0.0035, 18500;
33, 4, 1, 0, 0.0035, 68500;
34, 27, 0, 0, 0.0035, 14500;
35, 21, 0, 0, 0.0035, 70500;
36, 27, 0, 0, 0.0035, 64500;
37, 15, 1, 0, 0.0035, 20500;
38, 13, 0, 0, 0.0035, 75000;
39, 19, 0, 0, 0.0035, 45500;
40, 17, 0, 0, 0.0035, 33000;
41, 20, 0, 0, 0.0035, 43500;
42, 3, 1, 0, 0.0035, 43500;
43, 9, 1, 0, 0.0035, 66500;
44, 17, 0, 0, 0.0035, 31000;
45, 22, 0, 0, 0.0035, 64500;
46, 12, 0, 0, 0.0035, 8000;
47, 17, 0, 0, 0.0035, 54000;
48, 24, 0, 0, 0.0035, 37500;
49, 13, 0, 0, 0.0035, 6000;
50, 6, 1, 0, 0.0035, 29000;
51, 26, 0, 0, 0.0035, 54000;
52, 11, 0, 0, 0.0035, 20500;
53, 27, 1, 0, 0.0035, 45500;
54, 20, 0, 0, 0.0035, 39500;
55, 1, 1, 0, 0.0035, 31000;
56, 7, 0, 0, 0.0035, 68500;
57, 5, 0, 0, 0.0035, 22500;
58, 15, 0, 0, 0.0035, 50000;
59, 2, 0, 0, 0.0035, 54000;
60, 3, 1, 0, 0.0035, 66500;
61, 18, 0, 0, 0.0035, 29000;
62, 15, 0, 0, 0.0035, 6000;
63, 8, 0, 0, 0.0035, 52000;
64, 18, 0, 0, 0.0035, 25000;
65, 13, 0, 0, 0.0035, 77000;
66, 6, 1, 0, 0.0035, 31000;
67, 17, 0, 0, 0.0035, 33000;
68, 21, 0, 0, 0.0035, 31000;
69, 22, 1, 0, 0.0035, 58000;
70, 25, 0, 0, 0.0035, 20500;
71, 10, 0, 0, 0.0035, 39500;
72, 6, 1, 0, 0.0035, 72500;
73, 3, 1, 0, 0.0035, 35000;
74, 25, 0, 0, 0.0035, 79000;
75, 18, 0, 0, 0.0035, 18500;
76, 11, 0, 0, 0.0035, 33000;
77, 8, 0, 0, 0.0035, 33000;
78, 3, 0, 0, 0.0035, 66500;
79, 22, 1, 0, 0.0035, 35000;
80, 18, 0, 0, 0.0035, 79000;
81, 14, 1, 0, 0.0035, 54000;
82, 10, 0, 0, 0.0035, 77000;
83, 23, 0, 0, 0.0035, 52000;
84, 11, 0, 0, 0.0035, 22500;
85, 16, 1, 0, 0.0035, 56000;
86, 2, 0, 0, 0.0035, 25000;
87, 17, 1, 0, 0.0035, 6000;
88, 24, 1, 0, 0.0035, 37500;
89, 11, 1, 0, 0.0035, 16500;
90, 20, 1, 0, 0.0035, 12500;
91, 9, 0, 1, 0.001, 0;
92, 11, 0, 1, 0.001, 0;
93, 14, 0, 1, 0.001, 0;
94, 3, 0, 1, 0.001, 0;
95, 6, 0, 1, 0.001, 0;
96, 13, 0, 1, 0.001, 0;
97, 1, 0, 1, 0.001, 0;
98, 2, 0, 1, 0.001, 0;
99, 19, 0, 1, 0.001, 0;
100, 18, 0, 1, 0.001, 0;
101, 12, 0, 1, 0.001, 0;
102, 8, 0, 1, 0.001, 0;
103, 20, 0, 1, 0.001, 0;
104, 5, 0, 1, 0.001, 0;
105, 27, 0, 1, 0.001, 0;
106, 26, 0, 1, 0.001, 0;
107, 21, 0, 1, 0.001, 0;
108, 24, 0, 1, 0.001, 0;
109, 4, 0, 1, 0.001, 0;
110, 15, 0, 1, 0.001, 0;
111, 17, 0, 1, 0.001, 0;
112, 22, 0, 1, 0.001, 0;
113, 7, 0, 1, 0.001, 0;
114, 25, 0, 1, 0.001, 0;
115, 10, 0, 1, 0.001, 0;
116, 23, 0, 1, 0.001, 0;
117, 16, 0, 1, 0.001, 0;
