White border ratio: 0.33;
Color code ratio: 0.15;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 35;
Number of customer-specific designs: 30;
Number of standard designs: 5;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 4, 1, 0, 0.0035, 27000;
2, 5, 0, 0, 0.0035, 39500;
3, 1, 0, 0, 0.0035, 52000;
4, 4, 0, 0, 0.0035, 70500;
5, 1, 0, 0, 0.0035, 45500;
6, 1, 0, 0, 0.0035, 20500;
7, 2, 1, 0, 0.0035, 58000;
8, 3, 1, 0, 0.0035, 58000;
9, 1, 0, 0, 0.0035, 14500;
10, 4, 0, 0, 0.0035, 77000;
11, 2, 1, 0, 0.0035, 33000;
12, 2, 1, 0, 0.0035, 58000;
13, 4, 0, 0, 0.0035, 14500;
14, 4, 1, 0, 0.0035, 77000;
15, 5, 1, 0, 0.0035, 8000;
16, 5, 0, 0, 0.0035, 64500;
17, 4, 0, 0, 0.0035, 45500;
18, 3, 0, 0, 0.0035, 77000;
19, 4, 0, 0, 0.0035, 52000;
20, 2, 0, 0, 0.0035, 33000;
21, 3, 1, 0, 0.0035, 27000;
22, 3, 0, 0, 0.0035, 64500;
23, 1, 1, 0, 0.0035, 58000;
24, 5, 1, 0, 0.0035, 14500;
25, 1, 0, 0, 0.0035, 52000;
26, 4, 1, 0, 0.0035, 8000;
27, 2, 1, 0, 0.0035, 70500;
28, 2, 1, 0, 0.0035, 77000;
29, 1, 0, 0, 0.0035, 70500;
30, 1, 0, 0, 0.0035, 20500;
31, 4, 0, 1, 0.001, 0;
32, 5, 0, 1, 0.001, 0;
33, 1, 0, 1, 0.001, 0;
34, 2, 0, 1, 0.001, 0;
35, 3, 0, 1, 0.001, 0;
