White border ratio: 0.66;
Color code ratio: 0.3;
Demand ratio: 0.2;
Number of slots: 7;
Number of designs: 116;
Number of customer-specific designs: 90;
Number of standard designs: 26;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 3, 1, 0, 0.0035, 11500;
2, 10, 0, 0, 0.0035, 61500;
3, 21, 1, 0, 0.0035, 44500;
4, 15, 1, 0, 0.0035, 57000;
5, 14, 1, 0, 0.0035, 53000;
6, 6, 1, 0, 0.0035, 65500;
7, 16, 1, 0, 0.0035, 32000;
8, 12, 0, 0, 0.0035, 19500;
9, 7, 1, 0, 0.0035, 57000;
10, 12, 1, 0, 0.0035, 11500;
11, 16, 1, 0, 0.0035, 19500;
12, 16, 1, 0, 0.0035, 24000;
13, 23, 1, 0, 0.0035, 15500;
14, 16, 1, 0, 0.0035, 28000;
15, 8, 1, 0, 0.0035, 57000;
16, 19, 0, 0, 0.0035, 69500;
17, 15, 1, 0, 0.0035, 11500;
18, 14, 0, 0, 0.0035, 40500;
19, 8, 1, 0, 0.0035, 28000;
20, 1, 0, 0, 0.0035, 15500;
21, 20, 1, 0, 0.0035, 7000;
22, 4, 1, 0, 0.0035, 15500;
23, 25, 1, 0, 0.0035, 24000;
24, 27, 1, 0, 0.0035, 57000;
25, 2, 1, 0, 0.0035, 61500;
26, 17, 1, 0, 0.0035, 24000;
27, 11, 1, 0, 0.0035, 78000;
28, 26, 1, 0, 0.0035, 44500;
29, 12, 1, 0, 0.0035, 11500;
30, 22, 1, 0, 0.0035, 7000;
31, 2, 1, 0, 0.0035, 53000;
32, 1, 0, 0, 0.0035, 11500;
33, 16, 0, 0, 0.0035, 49000;
34, 15, 1, 0, 0.0035, 78000;
35, 2, 1, 0, 0.0035, 19500;
36, 14, 0, 0, 0.0035, 44500;
37, 20, 1, 0, 0.0035, 36500;
38, 24, 1, 0, 0.0035, 44500;
39, 23, 0, 0, 0.0035, 15500;
40, 7, 1, 0, 0.0035, 24000;
41, 10, 1, 0, 0.0035, 53000;
42, 27, 0, 0, 0.0035, 49000;
43, 17, 1, 0, 0.0035, 32000;
44, 11, 1, 0, 0.0035, 53000;
45, 15, 1, 0, 0.0035, 61500;
46, 16, 1, 0, 0.0035, 44500;
47, 8, 0, 0, 0.0035, 19500;
48, 11, 0, 0, 0.0035, 36500;
49, 9, 0, 0, 0.0035, 32000;
50, 14, 1, 0, 0.0035, 24000;
51, 5, 1, 0, 0.0035, 65500;
52, 6, 1, 0, 0.0035, 36500;
53, 10, 1, 0, 0.0035, 15500;
54, 14, 0, 0, 0.0035, 61500;
55, 22, 1, 0, 0.0035, 65500;
56, 25, 0, 0, 0.0035, 53000;
57, 23, 1, 0, 0.0035, 24000;
58, 17, 0, 0, 0.0035, 57000;
59, 27, 0, 0, 0.0035, 15500;
60, 5, 1, 0, 0.0035, 65500;
61, 20, 0, 0, 0.0035, 40500;
62, 5, 1, 0, 0.0035, 28000;
63, 25, 1, 0, 0.0035, 19500;
64, 16, 1, 0, 0.0035, 24000;
65, 2, 1, 0, 0.0035, 32000;
66, 17, 1, 0, 0.0035, 53000;
67, 1, 0, 0, 0.0035, 7000;
68, 14, 0, 0, 0.0035, 53000;
69, 21, 1, 0, 0.0035, 69500;
70, 10, 0, 0, 0.0035, 78000;
71, 13, 0, 0, 0.0035, 19500;
72, 25, 1, 0, 0.0035, 11500;
73, 13, 1, 0, 0.0035, 61500;
74, 24, 0, 0, 0.0035, 40500;
75, 12, 1, 0, 0.0035, 36500;
76, 24, 1, 0, 0.0035, 28000;
77, 20, 1, 0, 0.0035, 11500;
78, 26, 1, 0, 0.0035, 7000;
79, 9, 0, 0, 0.0035, 65500;
80, 19, 0, 0, 0.0035, 32000;
81, 11, 1, 0, 0.0035, 78000;
82, 11, 0, 0, 0.0035, 49000;
83, 5, 1, 0, 0.0035, 15500;
84, 1, 0, 0, 0.0035, 15500;
85, 10, 1, 0, 0.0035, 32000;
86, 27, 1, 0, 0.0035, 40500;
87, 20, 1, 0, 0.0035, 49000;
88, 13, 0, 0, 0.0035, 74000;
89, 13, 0, 0, 0.0035, 49000;
90, 11, 1, 0, 0.0035, 7000;
91, 3, 0, 1, 0.001, 0;
92, 10, 0, 1, 0.001, 0;
93, 21, 0, 1, 0.001, 0;
94, 15, 0, 1, 0.001, 0;
95, 14, 0, 1, 0.001, 0;
96, 6, 0, 1, 0.001, 0;
97, 16, 0, 1, 0.001, 0;
98, 12, 0, 1, 0.001, 0;
99, 7, 0, 1, 0.001, 0;
100, 23, 0, 1, 0.001, 0;
101, 8, 0, 1, 0.001, 0;
102, 19, 0, 1, 0.001, 0;
103, 1, 0, 1, 0.001, 0;
104, 20, 0, 1, 0.001, 0;
105, 4, 0, 1, 0.001, 0;
106, 25, 0, 1, 0.001, 0;
107, 27, 0, 1, 0.001, 0;
108, 2, 0, 1, 0.001, 0;
109, 17, 0, 1, 0.001, 0;
110, 11, 0, 1, 0.001, 0;
111, 26, 0, 1, 0.001, 0;
112, 22, 0, 1, 0.001, 0;
113, 24, 0, 1, 0.001, 0;
114, 9, 0, 1, 0.001, 0;
115, 5, 0, 1, 0.001, 0;
116, 13, 0, 1, 0.001, 0;
