White border ratio: 0.66;
Color code ratio: 0.3;
Demand ratio: 0.2;
Number of slots: 7;
Number of designs: 19;
Number of customer-specific designs: 15;
Number of standard designs: 4;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 4, 1, 0, 0.0035, 67500;
2, 1, 0, 0, 0.0035, 67500;
3, 2, 1, 0, 0.0035, 17500;
4, 1, 0, 0, 0.0035, 67500;
5, 4, 0, 0, 0.0035, 42500;
6, 2, 1, 0, 0.0035, 17500;
7, 4, 1, 0, 0.0035, 17500;
8, 5, 0, 0, 0.0035, 67500;
9, 1, 0, 0, 0.0035, 17500;
10, 5, 0, 0, 0.0035, 67500;
11, 1, 0, 0, 0.0035, 17500;
12, 1, 0, 0, 0.0035, 42500;
13, 4, 0, 0, 0.0035, 17500;
14, 1, 0, 0, 0.0035, 67500;
15, 4, 0, 0, 0.0035, 17500;
16, 4, 0, 1, 0.001, 0;
17, 1, 0, 1, 0.001, 0;
18, 2, 0, 1, 0.001, 0;
19, 5, 0, 1, 0.001, 0;
