White border ratio: 0.33;
Color code ratio: 0.3;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 32;
Number of customer-specific designs: 25;
Number of standard designs: 7;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 8, 0, 0, 0.0035, 69000;
2, 8, 0, 0, 0.0035, 54000;
3, 2, 1, 0, 0.0035, 76500;
4, 5, 0, 0, 0.0035, 31500;
5, 3, 0, 0, 0.0035, 54000;
6, 5, 0, 0, 0.0035, 24000;
7, 2, 0, 0, 0.0035, 46500;
8, 7, 0, 0, 0.0035, 9000;
9, 1, 1, 0, 0.0035, 16500;
10, 4, 0, 0, 0.0035, 24000;
11, 4, 0, 0, 0.0035, 54000;
12, 4, 0, 0, 0.0035, 54000;
13, 8, 0, 0, 0.0035, 9000;
14, 7, 1, 0, 0.0035, 46500;
15, 4, 0, 0, 0.0035, 24000;
16, 8, 1, 0, 0.0035, 46500;
17, 4, 0, 0, 0.0035, 16500;
18, 1, 1, 0, 0.0035, 16500;
19, 2, 1, 0, 0.0035, 9000;
20, 8, 0, 0, 0.0035, 24000;
21, 2, 0, 0, 0.0035, 16500;
22, 4, 0, 0, 0.0035, 69000;
23, 5, 0, 0, 0.0035, 69000;
24, 1, 1, 0, 0.0035, 39000;
25, 2, 1, 0, 0.0035, 9000;
26, 8, 0, 1, 0.001, 0;
27, 2, 0, 1, 0.001, 0;
28, 5, 0, 1, 0.001, 0;
29, 3, 0, 1, 0.001, 0;
30, 7, 0, 1, 0.001, 0;
31, 1, 0, 1, 0.001, 0;
32, 4, 0, 1, 0.001, 0;
