White border ratio: 0.33;
Color code ratio: 0.15;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 29;
Number of customer-specific designs: 25;
Number of standard designs: 4;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 2, 0, 0, 0.0035, 54000;
2, 2, 1, 0, 0.0035, 69000;
3, 1, 1, 0, 0.0035, 76500;
4, 2, 0, 0, 0.0035, 39000;
5, 3, 0, 0, 0.0035, 76500;
6, 1, 1, 0, 0.0035, 46500;
7, 3, 0, 0, 0.0035, 24000;
8, 3, 0, 0, 0.0035, 24000;
9, 2, 1, 0, 0.0035, 46500;
10, 3, 0, 0, 0.0035, 54000;
11, 4, 0, 0, 0.0035, 46500;
12, 1, 1, 0, 0.0035, 9000;
13, 4, 0, 0, 0.0035, 69000;
14, 3, 1, 0, 0.0035, 69000;
15, 2, 0, 0, 0.0035, 16500;
16, 1, 0, 0, 0.0035, 9000;
17, 2, 0, 0, 0.0035, 39000;
18, 4, 1, 0, 0.0035, 61500;
19, 3, 1, 0, 0.0035, 24000;
20, 2, 0, 0, 0.0035, 31500;
21, 1, 0, 0, 0.0035, 54000;
22, 4, 0, 0, 0.0035, 76500;
23, 4, 0, 0, 0.0035, 9000;
24, 2, 0, 0, 0.0035, 46500;
25, 2, 0, 0, 0.0035, 39000;
26, 2, 0, 1, 0.001, 0;
27, 1, 0, 1, 0.001, 0;
28, 3, 0, 1, 0.001, 0;
29, 4, 0, 1, 0.001, 0;
