White border ratio: 0.33;
Color code ratio: 0.15;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 23;
Number of customer-specific designs: 20;
Number of standard designs: 3;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 3, 1, 0, 0.0035, 19000;
2, 3, 0, 0, 0.0035, 38000;
3, 1, 1, 0, 0.0035, 19000;
4, 3, 0, 0, 0.0035, 28500;
5, 3, 0, 0, 0.0035, 38000;
6, 1, 0, 0, 0.0035, 28500;
7, 2, 0, 0, 0.0035, 56500;
8, 3, 0, 0, 0.0035, 56500;
9, 1, 0, 0, 0.0035, 47000;
10, 3, 1, 0, 0.0035, 56500;
11, 2, 1, 0, 0.0035, 47000;
12, 2, 0, 0, 0.0035, 28500;
13, 2, 0, 0, 0.0035, 38000;
14, 2, 0, 0, 0.0035, 38000;
15, 1, 0, 0, 0.0035, 19000;
16, 3, 1, 0, 0.0035, 28500;
17, 2, 0, 0, 0.0035, 19000;
18, 2, 0, 0, 0.0035, 75500;
19, 2, 0, 0, 0.0035, 75500;
20, 1, 0, 0, 0.0035, 28500;
21, 3, 0, 1, 0.001, 0;
22, 1, 0, 1, 0.001, 0;
23, 2, 0, 1, 0.001, 0;
