White border ratio: 0.66;
Color code ratio: 0.15;
Demand ratio: 0.2;
Number of slots: 7;
Number of designs: 23;
Number of customer-specific designs: 20;
Number of standard designs: 3;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 3, 1, 0, 0.0035, 33000;
2, 1, 1, 0, 0.0035, 70500;
3, 2, 1, 0, 0.0035, 70500;
4, 2, 1, 0, 0.0035, 33000;
5, 1, 0, 0, 0.0035, 52000;
6, 1, 1, 0, 0.0035, 70500;
7, 1, 0, 0, 0.0035, 52000;
8, 2, 1, 0, 0.0035, 52000;
9, 3, 1, 0, 0.0035, 70500;
10, 3, 0, 0, 0.0035, 33000;
11, 3, 1, 0, 0.0035, 33000;
12, 2, 1, 0, 0.0035, 70500;
13, 3, 1, 0, 0.0035, 70500;
14, 3, 1, 0, 0.0035, 70500;
15, 3, 1, 0, 0.0035, 14500;
16, 1, 0, 0, 0.0035, 70500;
17, 3, 1, 0, 0.0035, 52000;
18, 2, 0, 0, 0.0035, 14500;
19, 1, 1, 0, 0.0035, 33000;
20, 1, 0, 0, 0.0035, 70500;
21, 3, 0, 1, 0.001, 0;
22, 1, 0, 1, 0.001, 0;
23, 2, 0, 1, 0.001, 0;
