White border ratio: 0.66;
Color code ratio: 0.15;
Demand ratio: 0.2;
Number of slots: 7;
Number of designs: 58;
Number of customer-specific designs: 50;
Number of standard designs: 8;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 6, 0, 0, 0.0035, 39000;
2, 5, 0, 0, 0.0035, 16500;
3, 8, 1, 0, 0.0035, 31500;
4, 2, 1, 0, 0.0035, 54000;
5, 7, 1, 0, 0.0035, 69000;
6, 6, 1, 0, 0.0035, 69000;
7, 5, 0, 0, 0.0035, 16500;
8, 7, 0, 0, 0.0035, 54000;
9, 1, 1, 0, 0.0035, 9000;
10, 5, 1, 0, 0.0035, 46500;
11, 3, 1, 0, 0.0035, 16500;
12, 8, 1, 0, 0.0035, 39000;
13, 3, 1, 0, 0.0035, 61500;
14, 3, 1, 0, 0.0035, 31500;
15, 4, 1, 0, 0.0035, 16500;
16, 8, 1, 0, 0.0035, 76500;
17, 5, 1, 0, 0.0035, 9000;
18, 5, 0, 0, 0.0035, 16500;
19, 6, 0, 0, 0.0035, 54000;
20, 5, 1, 0, 0.0035, 69000;
21, 8, 1, 0, 0.0035, 46500;
22, 7, 1, 0, 0.0035, 9000;
23, 3, 1, 0, 0.0035, 24000;
24, 2, 0, 0, 0.0035, 24000;
25, 1, 1, 0, 0.0035, 69000;
26, 1, 1, 0, 0.0035, 54000;
27, 6, 0, 0, 0.0035, 16500;
28, 6, 1, 0, 0.0035, 39000;
29, 1, 1, 0, 0.0035, 54000;
30, 1, 1, 0, 0.0035, 31500;
31, 3, 1, 0, 0.0035, 69000;
32, 6, 0, 0, 0.0035, 76500;
33, 6, 1, 0, 0.0035, 69000;
34, 8, 1, 0, 0.0035, 76500;
35, 1, 1, 0, 0.0035, 69000;
36, 6, 1, 0, 0.0035, 31500;
37, 8, 0, 0, 0.0035, 76500;
38, 3, 1, 0, 0.0035, 31500;
39, 1, 1, 0, 0.0035, 24000;
40, 4, 0, 0, 0.0035, 16500;
41, 2, 1, 0, 0.0035, 39000;
42, 8, 0, 0, 0.0035, 16500;
43, 1, 0, 0, 0.0035, 76500;
44, 4, 0, 0, 0.0035, 31500;
45, 8, 1, 0, 0.0035, 39000;
46, 3, 1, 0, 0.0035, 16500;
47, 6, 1, 0, 0.0035, 9000;
48, 3, 1, 0, 0.0035, 39000;
49, 2, 1, 0, 0.0035, 76500;
50, 3, 0, 0, 0.0035, 39000;
51, 6, 0, 1, 0.001, 0;
52, 5, 0, 1, 0.001, 0;
53, 8, 0, 1, 0.001, 0;
54, 2, 0, 1, 0.001, 0;
55, 7, 0, 1, 0.001, 0;
56, 1, 0, 1, 0.001, 0;
57, 3, 0, 1, 0.001, 0;
58, 4, 0, 1, 0.001, 0;
