White border ratio: 0.66;
Color code ratio: 0.3;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 65;
Number of customer-specific designs: 50;
Number of standard designs: 15;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 13, 1, 0, 0.0035, 22000;
2, 8, 1, 0, 0.0035, 63000;
3, 8, 1, 0, 0.0035, 40500;
4, 11, 0, 0, 0.0035, 74500;
5, 3, 0, 0, 0.0035, 59500;
6, 15, 0, 0, 0.0035, 29500;
7, 6, 1, 0, 0.0035, 44500;
8, 12, 0, 0, 0.0035, 52000;
9, 11, 1, 0, 0.0035, 40500;
10, 10, 0, 0, 0.0035, 70500;
11, 4, 1, 0, 0.0035, 37000;
12, 4, 0, 0, 0.0035, 59500;
13, 14, 0, 0, 0.0035, 59500;
14, 8, 0, 0, 0.0035, 10500;
15, 12, 0, 0, 0.0035, 37000;
16, 12, 1, 0, 0.0035, 7000;
17, 2, 1, 0, 0.0035, 25500;
18, 14, 0, 0, 0.0035, 7000;
19, 2, 1, 0, 0.0035, 22000;
20, 6, 0, 0, 0.0035, 40500;
21, 9, 1, 0, 0.0035, 78000;
22, 10, 0, 0, 0.0035, 10500;
23, 4, 0, 0, 0.0035, 63000;
24, 2, 0, 0, 0.0035, 70500;
25, 4, 1, 0, 0.0035, 48000;
26, 3, 1, 0, 0.0035, 18000;
27, 1, 1, 0, 0.0035, 33000;
28, 13, 1, 0, 0.0035, 59500;
29, 8, 1, 0, 0.0035, 70500;
30, 15, 0, 0, 0.0035, 40500;
31, 7, 1, 0, 0.0035, 33000;
32, 5, 0, 0, 0.0035, 37000;
33, 1, 0, 0, 0.0035, 14500;
34, 5, 1, 0, 0.0035, 18000;
35, 9, 0, 0, 0.0035, 48000;
36, 11, 1, 0, 0.0035, 59500;
37, 8, 1, 0, 0.0035, 44500;
38, 9, 0, 0, 0.0035, 22000;
39, 5, 0, 0, 0.0035, 74500;
40, 14, 1, 0, 0.0035, 37000;
41, 9, 0, 0, 0.0035, 10500;
42, 12, 1, 0, 0.0035, 25500;
43, 8, 1, 0, 0.0035, 40500;
44, 13, 1, 0, 0.0035, 18000;
45, 6, 1, 0, 0.0035, 78000;
46, 14, 0, 0, 0.0035, 33000;
47, 8, 1, 0, 0.0035, 55500;
48, 2, 1, 0, 0.0035, 63000;
49, 11, 1, 0, 0.0035, 44500;
50, 15, 0, 0, 0.0035, 55500;
51, 13, 0, 1, 0.001, 0;
52, 8, 0, 1, 0.001, 0;
53, 11, 0, 1, 0.001, 0;
54, 3, 0, 1, 0.001, 0;
55, 15, 0, 1, 0.001, 0;
56, 6, 0, 1, 0.001, 0;
57, 12, 0, 1, 0.001, 0;
58, 10, 0, 1, 0.001, 0;
59, 4, 0, 1, 0.001, 0;
60, 14, 0, 1, 0.001, 0;
61, 2, 0, 1, 0.001, 0;
62, 9, 0, 1, 0.001, 0;
63, 1, 0, 1, 0.001, 0;
64, 7, 0, 1, 0.001, 0;
65, 5, 0, 1, 0.001, 0;
