White border ratio: 0.33;
Color code ratio: 0.15;
Demand ratio: 0.4;
Number of slots: 7;
Number of designs: 58;
Number of customer-specific designs: 50;
Number of standard designs: 8;
Setup costs: 540;
Max number of different color codes: 2;
ID, Color, White border, Standard, Overproduction costs, Demand:
1, 2, 0, 0, 0.0035, 10500;
2, 2, 0, 0, 0.0035, 37000;
3, 3, 0, 0, 0.0035, 25500;
4, 6, 0, 0, 0.0035, 18000;
5, 2, 0, 0, 0.0035, 7000;
6, 5, 0, 0, 0.0035, 10500;
7, 2, 1, 0, 0.0035, 37000;
8, 5, 0, 0, 0.0035, 18000;
9, 3, 0, 0, 0.0035, 33000;
10, 6, 0, 0, 0.0035, 63000;
11, 6, 1, 0, 0.0035, 18000;
12, 4, 0, 0, 0.0035, 29500;
13, 2, 0, 0, 0.0035, 7000;
14, 6, 0, 0, 0.0035, 52000;
15, 5, 0, 0, 0.0035, 7000;
16, 6, 0, 0, 0.0035, 67000;
17, 7, 0, 0, 0.0035, 14500;
18, 3, 0, 0, 0.0035, 55500;
19, 6, 1, 0, 0.0035, 7000;
20, 5, 1, 0, 0.0035, 25500;
21, 6, 1, 0, 0.0035, 74500;
22, 2, 0, 0, 0.0035, 74500;
23, 2, 0, 0, 0.0035, 40500;
24, 6, 0, 0, 0.0035, 22000;
25, 5, 1, 0, 0.0035, 70500;
26, 1, 0, 0, 0.0035, 10500;
27, 1, 0, 0, 0.0035, 37000;
28, 4, 0, 0, 0.0035, 59500;
29, 5, 0, 0, 0.0035, 10500;
30, 8, 0, 0, 0.0035, 14500;
31, 3, 0, 0, 0.0035, 74500;
32, 3, 1, 0, 0.0035, 48000;
33, 5, 1, 0, 0.0035, 63000;
34, 5, 1, 0, 0.0035, 52000;
35, 5, 0, 0, 0.0035, 7000;
36, 1, 1, 0, 0.0035, 7000;
37, 5, 1, 0, 0.0035, 29500;
38, 2, 1, 0, 0.0035, 63000;
39, 7, 0, 0, 0.0035, 33000;
40, 1, 1, 0, 0.0035, 55500;
41, 7, 0, 0, 0.0035, 22000;
42, 5, 0, 0, 0.0035, 22000;
43, 1, 1, 0, 0.0035, 78000;
44, 5, 0, 0, 0.0035, 48000;
45, 4, 0, 0, 0.0035, 33000;
46, 2, 0, 0, 0.0035, 40500;
47, 5, 0, 0, 0.0035, 7000;
48, 2, 1, 0, 0.0035, 74500;
49, 1, 0, 0, 0.0035, 10500;
50, 7, 0, 0, 0.0035, 37000;
51, 2, 0, 1, 0.001, 0;
52, 3, 0, 1, 0.001, 0;
53, 6, 0, 1, 0.001, 0;
54, 5, 0, 1, 0.001, 0;
55, 4, 0, 1, 0.001, 0;
56, 7, 0, 1, 0.001, 0;
57, 1, 0, 1, 0.001, 0;
58, 8, 0, 1, 0.001, 0;
